check_time	memory	cpu
2022-11-18T15:29:10	374087680	1.7
2022-11-18T15:29:15	373993472	2.7
2022-11-18T15:29:20	373993472	4.0
2022-11-18T15:29:25	373993472	6.5
2022-11-18T15:29:30	373997568	5.5
2022-11-18T15:29:35	374005760	8.5
2022-11-18T15:29:40	374013952	12.7
2022-11-18T15:29:45	374013952	17.1
2022-11-18T15:29:50	374013952	6.6
2022-11-18T15:29:55	374013952	12.7
2022-11-18T15:30:00	374013952	4.1
2022-11-18T15:30:05	374013952	1.0
2022-11-18T15:30:10	374013952	0.9
2022-11-18T15:30:15	0	0.0
2022-11-18T15:41:31	512454656	0.6
2022-11-18T15:41:36	512487424	1.6
2022-11-18T15:41:41	512516096	1.2
2022-11-18T15:41:46	512532480	1.3
2022-11-18T15:41:51	342708224	3.2
2022-11-18T15:41:56	342900736	5.6
2022-11-18T15:42:01	342913024	8.4
2022-11-18T15:42:06	342937600	8.1
2022-11-18T15:42:11	342949888	11.6
2022-11-18T15:42:16	342990848	17.0
2022-11-18T15:42:21	342999040	23.1
2022-11-18T15:42:26	342999040	16.9
2022-11-18T15:42:31	342999040	7.2
2022-11-18T15:42:36	343007232	7.5
2022-11-18T15:42:41	343031808	2.8
2022-11-18T15:42:46	343060480	3.9
2022-11-18T15:42:51	343060480	4.6
2022-11-18T15:42:56	343060480	4.6
2022-11-18T15:43:01	343076864	9.0
2022-11-18T15:43:06	343150592	9.2
2022-11-18T15:43:11	343171072	20.7
2022-11-18T15:43:16	343191552	20.9
2022-11-18T15:43:21	343191552	14.2
2022-11-18T15:43:26	343191552	4.4
2022-11-18T15:43:31	343191552	6.2
2022-11-18T15:43:36	343195648	8.5
2022-11-18T15:43:41	342347776	1.7
2022-11-18T15:43:46	342351872	1.8
2022-11-18T15:43:51	342351872	2.4
2022-11-18T15:43:56	342364160	2.6
2022-11-18T15:44:01	347590656	5.6
2022-11-18T15:44:06	348577792	1.7
2022-11-18T15:44:11	348569600	4.6
2022-11-18T15:44:16	348561408	8.6
2022-11-18T15:44:21	348561408	15.0
2022-11-18T15:44:26	348581888	9.9
2022-11-18T15:44:31	348585984	10.7
2022-11-18T15:44:36	349278208	7.8
2022-11-18T15:44:41	349278208	6.4
2022-11-18T15:44:46	349282304	7.9
2022-11-18T15:44:51	349294592	3.0
2022-11-18T15:44:56	349294592	4.3
2022-11-18T15:45:01	347922432	6.2
2022-11-18T15:45:06	347922432	9.6
2022-11-18T15:45:11	347676672	10.6
2022-11-18T15:45:16	347676672	2.2
2022-11-18T15:45:21	347676672	4.4
2022-11-18T15:45:26	347676672	6.6
2022-11-18T15:45:31	347680768	6.9
2022-11-18T15:45:36	321212416	6.9
2022-11-18T15:45:41	321216512	11.6
2022-11-18T15:45:46	318873600	18.0
2022-11-18T15:45:51	318881792	8.1
2022-11-18T15:45:56	318881792	5.0
2022-11-18T15:46:01	318881792	5.6
